“ID”,“DISCIPLINA”,“CONTEUDO”
42,C1,• Discutir umpouco sobre os programas em linguagem C- codificação e compilação. • Entender e praticar os conceitos da sintaxe utilizada na linguagem de programação C. • Entender e praticar os conceitos básicos relacionados à linguagem- como: definição e uso de variáveis- operadores aritméticos e operações de entrada e saída. • A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19
43,C1,• Discutir umpouco sobre os programas em linguagem C- codificação e compilação. • Entender e praticar os conceitos da sintaxe utilizada na linguagem de programação C. • Entender e praticar os conceitos básicos relacionados à linguagem- como: definição e uso de variáveis- operadores aritméticos e operações de entrada e saída. • A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19
44,C1,• Discutir umpouco sobre os programas em linguagem C- codificação e compilação. • Entender e praticar os conceitos da sintaxe utilizada na linguagem de programação C. • Entender e praticar os conceitos básicos relacionados à linguagem- como: definição e uso de variáveis- operadores aritméticos e operações de entrada e saída. • A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19
45,C1,• Discutir umpouco sobre os programas em linguagem C- codificação e compilação. • Entender e praticar os conceitos da sintaxe utilizada na linguagem de programação C. • Entender e praticar os conceitos básicos relacionados à linguagem- como: definição e uso de variáveis- operadores aritméticos e operações de entrada e saída. • A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19
46,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de decisão- • operadores relacionais e lógicos. • Aplicar variadas situações relacionadas ao fluxo de decisão emprogramação objetivando cobrir • diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de fluxos de decisão no processamento dos dados.A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19.
47,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de decisão- • operadores relacionais e lógicos. • Aplicar variadas situações relacionadas ao fluxo de decisão emprogramação objetivando cobrir • diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de fluxos de decisão no processamento dos dados.A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19.
48,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de decisão- • operadores relacionais e lógicos. • Aplicar variadas situações relacionadas ao fluxo de decisão emprogramação objetivando cobrir • diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de fluxos de decisão no processamento dos dados.A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19.
49,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de decisão- • operadores relacionais e lógicos. • Aplicar variadas situações relacionadas ao fluxo de decisão emprogramação objetivando cobrir • diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de fluxos de decisão no processamento dos dados.A solução passo a passo será apresentada por vídeo conferência. Suspensão das atividades presenciais devido ao COVID-19.
50,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de iteração. • Aplicar variadas situações relacionadas ao fluxo de iteração em programação com o objetivo de cobrir diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de estruturas de iteração. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas presenciais devido ao COVID-19.
51,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de iteração. • Aplicar variadas situações relacionadas ao fluxo de iteração em programação com o objetivo de cobrir diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de estruturas de iteração. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas presenciais devido ao COVID-19.
52,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de iteração. • Aplicar variadas situações relacionadas ao fluxo de iteração em programação com o objetivo de cobrir diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de estruturas de iteração. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas presenciais devido ao COVID-19.
53,C1,• Entender e praticar os conceitos da sintaxe utilizada na linguagem C para estruturas de iteração. • Aplicar variadas situações relacionadas ao fluxo de iteração em programação com o objetivo de cobrir diversificadas possibilidades vivenciadas na programação cotidiana. • Escrever programas que farão uso de estruturas de iteração. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas presenciais devido ao COVID-19.
54,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
55,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
56,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
57,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
58,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
59,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
60,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
61,C1,• Entender e praticar os conceitos do uso de vetores na linguagem C. • Aplicar variadas situações relacionadas ao uso de vetores em programação. • Escrever programas que farão uso de vetores • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19. 
62,C1,• Entender e praticar os conceitos do uso de matrizes na linguagem C. • Aplicar variadas situações relacionadas ao uso de matrizes em programação. • Escrever programas que farão uso de matrizes. • Entender o funcionamento e conceitos de Strings e C. • Aplicar strings em diversas situações. • Escrever programas que utilizarão Strings. • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19.
63,C1,• Entender e praticar os conceitos do uso de matrizes na linguagem C. • Aplicar variadas situações relacionadas ao uso de matrizes em programação. • Escrever programas que farão uso de matrizes. • Entender o funcionamento e conceitos de Strings e C. • Aplicar strings em diversas situações. • Escrever programas que utilizarão Strings. • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19.
64,C1,• Entender e praticar os conceitos do uso de matrizes na linguagem C. • Aplicar variadas situações relacionadas ao uso de matrizes em programação. • Escrever programas que farão uso de matrizes. • Entender o funcionamento e conceitos de Strings e C. • Aplicar strings em diversas situações. • Escrever programas que utilizarão Strings. • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19.
65,C1,• Entender e praticar os conceitos do uso de matrizes na linguagem C. • Aplicar variadas situações relacionadas ao uso de matrizes em programação. • Escrever programas que farão uso de matrizes. • Entender o funcionamento e conceitos de Strings e C. • Aplicar strings em diversas situações. • Escrever programas que utilizarão Strings. • A solução passo a passo será apresentada por vídeo conferência.  • Suspensão das aulas devido ao COVID-19.
66,C1,• Entender e praticar os conceitos do uso de funções na linguagem C. • Aplicar variadas situações relacionadas ao uso de funções em programação. • Entender em como utilizar funções presentes em bibliotecas disponibilizadas com a linguagemC. • Aprender a escrever novas funções em linguagem C. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas devido ao COVID-19.
67,C1,• Entender e praticar os conceitos do uso de funções na linguagem C. • Aplicar variadas situações relacionadas ao uso de funções em programação. • Entender em como utilizar funções presentes em bibliotecas disponibilizadas com a linguagemC. • Aprender a escrever novas funções em linguagem C. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas devido ao COVID-19.
68,C1,• Entender e praticar os conceitos do uso de funções na linguagem C. • Aplicar variadas situações relacionadas ao uso de funções em programação. • Entender em como utilizar funções presentes em bibliotecas disponibilizadas com a linguagemC. • Aprender a escrever novas funções em linguagem C. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas devido ao COVID-19.
69,C1,• Entender e praticar os conceitos do uso de funções na linguagem C. • Aplicar variadas situações relacionadas ao uso de funções em programação. • Entender em como utilizar funções presentes em bibliotecas disponibilizadas com a linguagemC. • Aprender a escrever novas funções em linguagem C. • A solução passo a passo será apresentada por vídeo conferência.  Suspensão das aulas devido ao COVID-19.
70,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
71,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
72,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
73,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
74,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
75,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
76,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
77,C1, Atividade avaliativa- projeto de disciplina envolvendo todo conteúdo do semestre.
78,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
79,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
80,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
81,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
82,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
83,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
84,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
85,C1,Globalmente Conectado LANs- WANs e a Internet  A rede como plataforma O ambiente de rede em mudança
86,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
87,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
88,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
89,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
90,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
91,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
92,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
93,C1,IOS Bootcamp Obtenção do básico Esquemas de endereço como funciona o simulador Packet Tracer
94,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
95,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
96,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
97,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
98,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
99,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
100,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
101,C1,Conceitos sobre redes de computadores e sua aplicabilidade no ambiente real
102,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
103,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
104,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
105,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
106,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
107,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
108,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
109,C1,SISTEMAS NUMÉRICOS; LÓGICA BOOLEANA; 
110,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
111,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
112,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
113,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
114,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
115,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
116,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
117,C1,ENDEREÇOS DE IP E MASCARA DA REDE; IPV4 X IPV6; ENDEREÇO DE IP CLASSES A-B-C-D e E; ENDEREÇOS IP RESERVADOS; ENDEREÇOS DE REDE; ENDEREÇOS DE BROADCAST; ENDEREÇOS IP PUBLICOS E PRIVADOS; 
118,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
119,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
120,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
121,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
122,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
123,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
124,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
125,C1,Atividades com simulador utilizando os endereços de IPv4 e IPv6 e gateway
126,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
127,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
128,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
129,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
130,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
131,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
132,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
133,C1,Protocolo Ethernet Address Resolution Protocol Switches LAN
134,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
135,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
136,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
137,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
138,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
139,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
140,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
141,C1,Padronização; Processo de Transmissão; Características do Sinal; Problemas de Transmissão; Protocolos e Modelos de Camadas; Modelo OSI; Modelo TCP-IP; 
142,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
143,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
144,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
145,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
146,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
147,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
148,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
149,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
150,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
151,C1,Conceituação: Processamento de Dados; Sistemas; Sistemas de Computação. Histórico da Computação 
152,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
153,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
154,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
155,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
156,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
157,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
158,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
159,C1,• Memórias  • Memória Principal. • Memória ROM • Memória Cache. Tecnologias das Memórias 
160,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
161,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
162,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
163,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
164,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
165,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
166,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
167,C1,Unidade Central de Processamento. Introdução. Funções Básicas da UCP. Instruções de Máquina. Funcionamento da UCP. Ciclo da Instrução. 
168,C1,• Entrada e Saída – E/S. • Introdução. • Interfaces de E/S. • Dispositivos de E/S. • Introdução a portas lógicas. 
169,C1,• Entrada e Saída – E/S. • Introdução. • Interfaces de E/S. • Dispositivos de E/S. • Introdução a portas lógicas. 
170,C1,• Entrada e Saída – E/S. • Introdução. • Interfaces de E/S. • Dispositivos de E/S. • Introdução a portas lógicas. 
171,C1,• Entrada e Saída – E/S. • Introdução. • Interfaces de E/S. • Dispositivos de E/S. • Introdução a portas lógicas. 
